Surface_ID,Active_Site,HO,O,dG_HO,dG_O,dG_OOH,dG_1,dG_2,dG_3,dG_4,Overpotential_V,Electronegativity,Radius_pm,Valence_e
71-FeNiCoCrMn-HEO-Co-site,Co,1.06211329000001,3.14323147000002,1.41211329000001,3.1932314700000197,4.612113290000011,1.41211329000001,1.7811181800000098,1.4188818199999909,0.30788670999998935,0.5511181800000098,1.88,125.0,9.0
72-FeNiCoMnCr-HEO-Co-site,Co,1.27138446000001,3.36760255000002,1.62138446000001,3.41760255000002,4.82138446000001,1.62138446000001,1.7962180900000098,1.40378190999999,0.09861553999999018,0.5662180900000098,1.88,125.0,9.0
73-CoCrMnFeNi-HEO-Co-site,Co,1.23124221,3.37963615000001,1.58124221,3.4296361500000097,4.78124221,1.58124221,1.8483939400000096,1.3516060599999906,0.13875778999999966,0.6183939400000096,1.88,125.0,9.0
76-CoCrFeNiMn-HEO-Co-site,Co,1.04697997999997,3.06119411,1.39697997999997,3.11119411,4.59697997999997,1.39697997999997,1.71421413000003,1.4857858699999702,0.3230200200000297,0.48421413000003,1.88,125.0,9.0
77-CoCrNiMnFe-HEO-Co-site,Co,1.28056582999997,3.28145907000001,1.63056582999997,3.33145907000001,4.83056582999997,1.63056582999997,1.70089324000004,1.4991067599999601,0.08943417000002984,0.47089324000004007,1.88,125.0,9.0
78-CoCrNiFeMn-HEO-Co-site,Co,1.57756389999997,3.17391212999999,1.9275638999999698,3.2239121299999898,5.12756389999997,1.9275638999999698,1.29634823000002,1.9036517699999802,-0.20756389999997005,0.6975638999999698,1.88,125.0,9.0
79-CoMnCrFeNi-HEO-Co-site,Co,1.25032167000001,3.46526930000002,1.6003216700000098,3.51526930000002,4.8003216700000095,1.6003216700000098,1.9149476300000101,1.2850523699999896,0.1196783299999904,0.6849476300000101,1.88,125.0,9.0
8-CrFeMnNiCo-HEO-Co-site,Co,1.20095336999998,3.26435861000002,1.5509533699999798,3.3143586100000197,4.75095336999998,1.5509533699999798,1.76340524000004,1.4365947599999602,0.16904663000001996,0.53340524000004,1.88,125.0,9.0
80-CoMnCrNiFe-HEO-Co-site,Co,1.20441241999998,3.62543373,1.5544124199999798,3.67543373,4.75441241999998,1.5544124199999798,2.12102131000002,1.07897868999998,0.16558758000001994,0.8910213100000202,1.88,125.0,9.0
81-CoMnFeCrNi-HEO-Co-site,Co,1.22498867999997,3.43543234000001,1.57498867999997,3.48543234000001,4.77498867999997,1.57498867999997,1.9104436600000398,1.2895563399999599,0.14501132000003025,0.6804436600000399,1.88,125.0,9.0
82-CoMnFeNiCr-HEO-Co-site,Co,1.15858258999998,3.17356778999999,1.50858258999998,3.22356778999999,4.70858258999998,1.50858258999998,1.7149852000000099,1.4850147999999903,0.21141741000001968,0.4849852000000099,1.88,125.0,9.0
83-CoMnNiCrFe-HEO-Co-site,Co,0.765031859999994,2.70928073000002,1.115031859999994,2.75928073000002,4.315031859999994,1.115031859999994,1.644248870000026,1.5557511299999742,0.6049681400000058,0.41424887000002597,1.88,125.0,9.0
84-CoMnNiFeCr-HEO-Co-site,Co,1.17222411999998,3.17899151,1.5222241199999802,3.2289915099999997,4.72222411999998,1.5222241199999802,1.7067673900000195,1.4932326099999806,0.19777588000001955,0.47676739000001955,1.88,125.0,9.0
85-CoFeCrMnNi-HEO-Co-site,Co,0.53446895999997,2.61925038999999,0.88446895999997,2.66925038999999,4.08446895999997,0.88446895999997,1.78478143000002,1.4152185699999804,0.8355310400000295,0.55478143000002,1.88,125.0,9.0
86-CoFeCrNiMn-HEO-Co-site,Co,1.36879888999999,3.19879821000001,1.7187988899999902,3.2487982100000097,4.918798889999991,1.7187988899999902,1.5299993200000195,1.6700006799999811,0.001201110000009109,0.4887988899999902,1.88,125.0,9.0
87-CoFeMnCrNi-HEO-Co-site,Co,0.804602169999981,2.97519278999999,1.1546021699999809,3.02519278999999,4.354602169999981,1.1546021699999809,1.870590620000009,1.329409379999991,0.5653978300000189,0.6405906200000091,1.88,125.0,9.0
